bairro_group,bairro,latitude,longitude,room_type,minimo_noites,numero_de_reviews,reviews_por_mes,calculado_host_listings_count
Brooklyn,Williamsburg,40.70822,-73.94825,Entire home/apt,2,0,0.0,1
Brooklyn,Bedford-Stuyvesant,40.68001,-73.94971,Entire home/apt,30,11,0.29,3
Brooklyn,Bedford-Stuyvesant,40.68076,-73.95667,Private room,3,1,0.5,4
Brooklyn,Bushwick,40.69972,-73.92362,Private room,3,0,0.0,1
Manhattan,Murray Hill,40.74899,-73.97301,Private room,1,1,0.02,1
Manhattan,Midtown,40.76084,-73.96908,Entire home/apt,15,6,0.58,2
Brooklyn,Greenpoint,40.72767,-73.95084,Private room,5,19,1.26,1
Manhattan,Hell's Kitchen,40.76128,-73.99617,Entire home/apt,2,39,0.86,1
Brooklyn,Williamsburg,40.7049,-73.92966,Private room,1,2,0.06,1
Brooklyn,Greenpoint,40.72537,-73.94076,Entire home/apt,30,0,0.0,52
Brooklyn,Kensington,40.64687,-73.98182,Entire home/apt,7,6,0.11,1
Brooklyn,Downtown Brooklyn,40.6978,-73.98396,Private room,1,0,0.0,1
Manhattan,Upper East Side,40.77242,-73.96212,Entire home/apt,7,3,0.06,1
Staten Island,Howland Hook,40.63014,-74.17459,Entire home/apt,4,20,0.57,1
Manhattan,Financial District,40.70538,-74.00664,Entire home/apt,30,3,0.08,96
Queens,Long Island City,40.75472,-73.91891,Entire home/apt,2,27,2.74,1
Brooklyn,Bedford-Stuyvesant,40.69102,-73.95132,Private room,3,3,0.16,3
Brooklyn,Williamsburg,40.70739,-73.94726,Private room,6,3,0.14,2
Queens,Sunnyside,40.74962,-73.91664,Entire home/apt,2,111,3.19,1
Manhattan,Midtown,40.74484,-73.98355,Entire home/apt,20,0,0.0,2
Manhattan,East Village,40.72821,-73.98633,Private room,30,0,0.0,8
Brooklyn,East Flatbush,40.65056,-73.94994,Entire home/apt,2,14,1.03,2
Manhattan,East Harlem,40.79534,-73.94526,Entire home/apt,1,73,2.37,1
Manhattan,East Harlem,40.78918,-73.94834,Entire home/apt,30,1,0.2,2
Manhattan,Lower East Side,40.72088,-73.99312,Private room,30,0,0.0,4
Manhattan,Upper West Side,40.7828,-73.98348,Entire home/apt,30,0,0.0,8
Manhattan,East Village,40.72498,-73.97604,Private room,1,6,1.49,1
Brooklyn,Williamsburg,40.71596,-73.96215,Private room,2,106,2.29,8
Manhattan,Upper West Side,40.7787,-73.98407,Entire home/apt,3,2,0.05,1
Manhattan,East Village,40.72394,-73.98941,Entire home/apt,4,43,0.68,1
Brooklyn,Fort Greene,40.69283,-73.98061,Private room,2,6,0.14,1
Brooklyn,Bedford-Stuyvesant,40.67913,-73.90665,Private room,1,33,2.04,6
Brooklyn,Prospect-Lefferts Gardens,40.65732,-73.95991,Private room,2,67,1.56,3
Manhattan,Harlem,40.80007,-73.9562,Entire home/apt,7,6,0.16,1
Brooklyn,Williamsburg,40.71886,-73.94054,Entire home/apt,2,19,1.52,2
Manhattan,Harlem,40.81493,-73.93953,Entire home/apt,5,1,0.11,1
Manhattan,Chinatown,40.71387,-73.99427,Entire home/apt,5,0,0.0,1
Brooklyn,East Flatbush,40.66314,-73.93299,Private room,1,8,0.61,6
Brooklyn,Prospect-Lefferts Gardens,40.6602,-73.95043,Private room,1,1,0.02,1
Manhattan,Gramercy,40.73711,-73.98573,Entire home/apt,5,7,0.2,1
Brooklyn,South Slope,40.66752,-73.9849,Entire home/apt,6,2,0.06,3
Manhattan,Upper West Side,40.77348,-73.97994,Entire home/apt,30,0,0.0,1
Brooklyn,Flatlands,40.62536,-73.929,Private room,1,8,0.16,3
Queens,Rockaway Beach,40.5889,-73.81585,Entire home/apt,1,31,1.2,1
Manhattan,Washington Heights,40.85508,-73.92779,Entire home/apt,2,9,0.96,1
Brooklyn,East Flatbush,40.651,-73.94886,Private room,2,263,2.69,2
Queens,Maspeth,40.72538,-73.89284,Entire home/apt,2,27,2.69,2
Manhattan,Upper West Side,40.79307,-73.97449,Entire home/apt,1,2,0.1,1
Manhattan,Tribeca,40.7132,-74.00942,Entire home/apt,30,0,0.0,232
Manhattan,Harlem,40.81426,-73.95152,Private room,2,75,3.93,2
Manhattan,Financial District,40.70613,-74.01067,Entire home/apt,2,5,1.9,327
Manhattan,East Harlem,40.79637,-73.93371,Private room,2,151,2.75,1
Manhattan,Upper East Side,40.77553,-73.95343,Entire home/apt,30,2,0.08,29
Manhattan,Little Italy,40.7203,-73.99663,Entire home/apt,31,4,1.52,1
Queens,Long Island City,40.74523,-73.94906,Private room,2,3,0.41,1
Brooklyn,Williamsburg,40.71308,-73.94458,Entire home/apt,9,5,0.42,1
Brooklyn,Williamsburg,40.70629,-73.92884,Entire home/apt,2,3,0.06,1
Brooklyn,Sunset Park,40.66266,-73.99064,Entire home/apt,7,1,0.16,1
Brooklyn,East New York,40.65905,-73.8976,Entire home/apt,1,13,7.36,1
Brooklyn,Bushwick,40.6905,-73.90622,Private room,30,0,0.0,8
Manhattan,Midtown,40.74481,-73.98523,Entire home/apt,3,6,0.23,1
Queens,Long Island City,40.7351,-73.92526,Private room,1,1,0.16,1
Brooklyn,Bedford-Stuyvesant,40.69199,-73.94426,Private room,3,6,0.72,1
Manhattan,East Harlem,40.79922,-73.94187,Shared room,1,22,6.53,7
Manhattan,East Village,40.72842,-73.98679,Private room,4,11,0.42,1
Manhattan,East Village,40.72161,-73.98013,Entire home/apt,1,52,1.2,1
Queens,Forest Hills,40.72126,-73.84542,Entire home/apt,1,0,0.0,1
Manhattan,Upper West Side,40.79804,-73.96135,Entire home/apt,30,19,0.47,12
Brooklyn,Bedford-Stuyvesant,40.68337,-73.9227,Entire home/apt,15,1,0.83,1
Queens,Jamaica,40.70085,-73.81284,Entire home/apt,1,27,0.7,2
Manhattan,Upper West Side,40.77961,-73.98474,Entire home/apt,14,3,0.98,1
Queens,Jackson Heights,40.75251,-73.8898,Entire home/apt,7,2,0.05,1
Brooklyn,East New York,40.66337,-73.89806,Private room,1,1,0.03,1
Manhattan,Inwood,40.86335,-73.92822,Entire home/apt,7,7,0.15,1
Queens,Glendale,40.70099,-73.89034,Private room,1,101,5.59,6
Manhattan,West Village,40.73428,-73.99969,Entire home/apt,30,3,0.13,1
Brooklyn,Williamsburg,40.70961,-73.94635,Private room,1,98,3.53,1
Manhattan,Upper East Side,40.77531,-73.95165,Entire home/apt,6,2,0.09,1
Queens,Astoria,40.76451,-73.92942,Private room,2,107,1.58,1
Manhattan,East Village,40.72568,-73.98823,Entire home/apt,2,0,0.0,1
Manhattan,Morningside Heights,40.80392,-73.95829,Private room,2,16,4.57,1
Manhattan,Harlem,40.80926,-73.95455,Entire home/apt,3,25,1.2,1
Manhattan,Chelsea,40.74714,-74.00142,Entire home/apt,30,1,1.0,1
Staten Island,Tompkinsville,40.63515,-74.07929,Private room,2,29,5.0,3
Manhattan,Murray Hill,40.74872,-73.97701,Entire home/apt,30,1,0.05,50
Brooklyn,Fort Greene,40.68809,-73.97578,Private room,2,5,0.13,2
Brooklyn,Williamsburg,40.70357,-73.93444,Private room,3,66,1.9,2
Queens,Briarwood,40.70458,-73.81418,Private room,1,0,0.0,18
Manhattan,SoHo,40.72042,-73.99844,Private room,1,0,0.0,1
Brooklyn,Crown Heights,40.67228,-73.9573,Entire home/apt,30,6,0.14,1
Manhattan,Hell's Kitchen,40.75516,-73.99547,Private room,7,1,0.41,47
Queens,Jackson Heights,40.75304,-73.87661,Private room,2,2,2.0,1
Queens,Ridgewood,40.69968,-73.90697,Private room,2,0,0.0,1
Brooklyn,Bedford-Stuyvesant,40.69093,-73.92754,Private room,2,0,0.0,2
Queens,Astoria,40.76031,-73.91702,Private room,7,0,0.0,1
Brooklyn,Clinton Hill,40.68331,-73.96568,Entire home/apt,7,6,0.1,1
Manhattan,Midtown,40.7467,-73.98706,Entire home/apt,2,4,1.09,13
Brooklyn,Crown Heights,40.67506,-73.94828,Entire home/apt,3,20,1.0,1
Brooklyn,Clinton Hill,40.69075,-73.9677,Private room,1,52,2.48,11
Manhattan,Harlem,40.80878,-73.95206,Entire home/apt,2,81,2.57,1
Brooklyn,Clinton Hill,40.68854,-73.96848,Entire home/apt,4,7,0.26,1
Brooklyn,Prospect-Lefferts Gardens,40.65934,-73.95937,Private room,1,19,0.55,2
Manhattan,Lower East Side,40.71244,-73.98756,Private room,5,0,0.0,1
Manhattan,Financial District,40.70799,-74.01113,Entire home/apt,2,9,3.33,327
Bronx,Mott Haven,40.80689,-73.91437,Entire home/apt,3,4,2.79,1
Queens,Woodside,40.74286,-73.89163,Private room,1,57,4.37,2
Queens,Elmhurst,40.74432,-73.87123,Private room,30,1,0.25,103
Brooklyn,Bedford-Stuyvesant,40.68753,-73.93656,Entire home/apt,5,82,1.41,1
Manhattan,Midtown,40.75003,-73.97059,Entire home/apt,30,0,0.0,96
Queens,Jamaica,40.67901,-73.78876,Private room,2,0,0.0,4
Manhattan,East Village,40.72422,-73.98211,Entire home/apt,2,46,0.8,1
Brooklyn,Crown Heights,40.67646,-73.94333,Private room,25,0,0.0,3
Brooklyn,Bushwick,40.69301,-73.92683,Private room,1,0,0.0,1
Brooklyn,Flatlands,40.62379,-73.92995,Private room,2,71,3.1,3
Manhattan,Upper West Side,40.7965,-73.96179,Private room,2,165,3.56,1
Brooklyn,Bushwick,40.69718,-73.92328,Private room,1,2,2.0,1
Manhattan,Upper East Side,40.77654,-73.94904,Entire home/apt,1,141,3.54,1
Queens,Maspeth,40.73612,-73.89519,Private room,1,19,8.03,4
Manhattan,Chelsea,40.74045,-73.99824,Entire home/apt,3,9,0.23,1
Brooklyn,Greenpoint,40.72713,-73.94141,Entire home/apt,30,7,0.12,52
Brooklyn,Boerum Hill,40.68482,-73.98302,Entire home/apt,3,19,0.65,1
Brooklyn,Downtown Brooklyn,40.68978,-73.98598,Private room,21,0,0.0,1
Queens,Astoria,40.76649,-73.92643,Private room,1,102,6.77,1
Queens,Jamaica,40.67057,-73.77869,Private room,1,22,1.73,6
Manhattan,Civic Center,40.71654,-74.00138,Private room,4,23,0.35,1
Brooklyn,Williamsburg,40.71401,-73.95664,Entire home/apt,1,6,0.16,1
Manhattan,Hell's Kitchen,40.76499,-73.98888,Private room,1,67,4.51,2
Brooklyn,Williamsburg,40.71041,-73.93847,Private room,2,2,0.06,1
Manhattan,Upper East Side,40.76494,-73.95808,Entire home/apt,2,4,1.24,1
Brooklyn,Borough Park,40.6348,-74.00304,Private room,1,6,2.25,2
Manhattan,Upper West Side,40.79829,-73.97266,Entire home/apt,30,0,0.0,1
Manhattan,Harlem,40.80553,-73.94928,Entire home/apt,1,2,2.0,1
Manhattan,Morningside Heights,40.8151,-73.96091,Private room,2,0,0.0,1
Brooklyn,Bushwick,40.69919,-73.93818,Private room,2,226,4.78,2
Manhattan,West Village,40.74005,-74.00466,Private room,3,4,0.09,1
Manhattan,Kips Bay,40.74123,-73.97731,Entire home/apt,7,2,0.04,1
Queens,Flushing,40.77063,-73.8098,Private room,2,85,2.42,1
Brooklyn,Williamsburg,40.70851,-73.95443,Private room,4,2,0.77,1
Brooklyn,Prospect Heights,40.67871,-73.9678,Private room,1,14,0.71,1
Manhattan,Harlem,40.81646,-73.93795,Private room,2,4,0.12,4
Brooklyn,Bushwick,40.69989,-73.93617,Private room,1,97,2.55,2
Brooklyn,Bedford-Stuyvesant,40.68127,-73.92686,Entire home/apt,7,29,0.95,1
Manhattan,Murray Hill,40.74898,-73.98029,Entire home/apt,3,11,4.18,1
Manhattan,Harlem,40.82033,-73.95632,Entire home/apt,1,3,0.06,1
Manhattan,Upper East Side,40.77819,-73.94597,Private room,25,5,0.15,10
Manhattan,Morningside Heights,40.81633,-73.96069,Private room,2,15,3.6,1
Manhattan,Harlem,40.81899,-73.94714,Private room,30,11,0.79,4
Queens,Middle Village,40.7206,-73.87382,Private room,1,95,2.22,3
Brooklyn,Greenpoint,40.72963,-73.94937,Private room,1,0,0.0,1
Manhattan,Washington Heights,40.84398,-73.94064,Private room,4,2,0.05,2
Brooklyn,Bedford-Stuyvesant,40.69678,-73.94409,Private room,3,0,0.0,1
Manhattan,East Village,40.72972,-73.97995,Entire home/apt,2,103,1.08,1
Brooklyn,Bedford-Stuyvesant,40.69277,-73.94315,Private room,2,11,0.47,1
Brooklyn,Bedford-Stuyvesant,40.68181,-73.94214,Entire home/apt,1,3,0.14,1
Brooklyn,Bushwick,40.70033,-73.91197,Private room,5,0,0.0,2
Brooklyn,Williamsburg,40.70721,-73.95341,Entire home/apt,2,17,0.59,1
Brooklyn,Gowanus,40.67475,-73.99707,Entire home/apt,2,0,0.0,1
Manhattan,West Village,40.73384,-74.00462,Entire home/apt,14,51,0.7,1
Manhattan,Washington Heights,40.83353,-73.94393,Private room,4,45,2.23,1
Queens,Far Rockaway,40.59349,-73.76377,Private room,1,1,0.16,1
Manhattan,Chinatown,40.71529,-73.99088,Entire home/apt,1,11,0.78,1
Brooklyn,Williamsburg,40.70838,-73.95366,Entire home/apt,2,2,2.0,1
Brooklyn,Prospect Heights,40.67995,-73.97021,Entire home/apt,3,5,0.11,1
Brooklyn,Williamsburg,40.70436,-73.93225,Private room,7,2,0.05,1
Brooklyn,Clinton Hill,40.68232,-73.96501,Entire home/apt,30,63,0.75,1
Brooklyn,Greenpoint,40.72211,-73.94215,Entire home/apt,2,20,0.76,1
Brooklyn,Downtown Brooklyn,40.69054,-73.99039,Entire home/apt,3,68,1.35,1
Manhattan,Chelsea,40.73975,-73.99848,Entire home/apt,3,2,0.06,1
Brooklyn,Greenpoint,40.72658,-73.94031,Entire home/apt,1,0,0.0,1
Manhattan,Harlem,40.81272,-73.9517,Entire home/apt,7,5,0.28,1
Manhattan,Chelsea,40.74372,-74.00021,Entire home/apt,7,26,0.37,1
Brooklyn,Cypress Hills,40.68775,-73.87044,Entire home/apt,30,4,0.55,6
Brooklyn,Bushwick,40.68587,-73.9082,Private room,2,23,5.11,4
Manhattan,Lower East Side,40.7188,-73.98554,Entire home/apt,3,10,0.97,1
Manhattan,Washington Heights,40.83436,-73.94735,Entire home/apt,5,5,0.11,1
Brooklyn,Prospect Heights,40.67553,-73.96376,Entire home/apt,3,11,0.19,1
Manhattan,Midtown,40.75815,-73.96489,Shared room,4,0,0.0,1
Manhattan,Midtown,40.76381,-73.97314,Private room,3,0,0.0,1
Manhattan,East Village,40.73263,-73.98728,Entire home/apt,4,17,0.29,1
Manhattan,Upper East Side,40.78419,-73.94851,Entire home/apt,5,0,0.0,1
Brooklyn,Greenpoint,40.73297,-73.95466,Entire home/apt,2,0,0.0,2
Manhattan,Morningside Heights,40.81536,-73.96246,Private room,15,0,0.0,1
Brooklyn,Greenpoint,40.72868,-73.95248,Private room,2,68,3.25,1
Manhattan,Midtown,40.74604,-73.98555,Entire home/apt,1,0,0.0,1
Manhattan,Upper East Side,40.78508,-73.95332,Entire home/apt,4,0,0.0,1
Manhattan,East Village,40.72304,-73.97923,Entire home/apt,60,5,0.06,1
Brooklyn,Park Slope,40.68073,-73.97515,Entire home/apt,1,0,0.0,1
Queens,Rockaway Beach,40.58773,-73.81367,Entire home/apt,1,61,4.49,2
Brooklyn,Flatlands,40.62183,-73.92111,Entire home/apt,2,12,1.86,1
Brooklyn,Williamsburg,40.71569,-73.93735,Entire home/apt,7,0,0.0,1
Manhattan,Lower East Side,40.71366,-73.98799,Private room,4,59,1.56,1
Manhattan,East Village,40.72496,-73.98289,Entire home/apt,2,36,0.74,1
Manhattan,Washington Heights,40.83591,-73.94777,Entire home/apt,5,3,0.08,2
Manhattan,Harlem,40.81759,-73.94385,Entire home/apt,5,1,0.08,1
Brooklyn,Fort Hamilton,40.61735,-74.03,Entire home/apt,5,0,0.0,1
Queens,Rosedale,40.66158,-73.74821,Private room,5,0,0.0,1
Brooklyn,Gowanus,40.68076,-73.9896,Entire home/apt,3,69,0.79,2
Manhattan,West Village,40.73886,-74.00413,Entire home/apt,3,6,0.94,1
Manhattan,Upper East Side,40.77495,-73.94832,Entire home/apt,1,0,0.0,1
Manhattan,Midtown,40.76592,-73.98095,Private room,3,1,0.07,1
Queens,Astoria,40.76547,-73.92079,Private room,1,0,0.0,1
Brooklyn,Williamsburg,40.7133,-73.94602,Entire home/apt,1,124,1.77,1
Brooklyn,Bedford-Stuyvesant,40.68341,-73.92154,Entire home/apt,2,7,1.23,2
Brooklyn,Bushwick,40.69854,-73.91086,Private room,2,29,4.73,2
Brooklyn,East Flatbush,40.65074,-73.92945,Entire home/apt,6,2,0.3,1
Brooklyn,Bushwick,40.70563,-73.91853,Private room,2,6,0.58,3
Manhattan,Harlem,40.80639,-73.95551,Entire home/apt,3,7,0.19,1
Bronx,Mott Haven,40.81161,-73.90513,Private room,1,24,2.38,1
Brooklyn,Bushwick,40.69752,-73.92069,Private room,3,13,2.05,1
Brooklyn,Sunset Park,40.64349,-74.02347,Entire home/apt,14,2,0.24,1
Manhattan,Hell's Kitchen,40.76376,-73.98789,Private room,4,33,0.88,1
Manhattan,Lower East Side,40.71869,-73.98282,Private room,1,0,0.0,1
Manhattan,Morningside Heights,40.80605,-73.96496,Entire home/apt,3,16,0.79,1
Brooklyn,Greenpoint,40.72684,-73.95628,Private room,1,0,0.0,1
Queens,Jamaica,40.70477,-73.80335,Entire home/apt,1,3,3.0,1
Brooklyn,Greenpoint,40.72948,-73.94918,Private room,1,154,4.49,2
Manhattan,Washington Heights,40.83414,-73.94565,Entire home/apt,5,18,2.19,1
Manhattan,Lower East Side,40.71502,-73.98192,Private room,7,48,0.61,1
Brooklyn,Williamsburg,40.71468,-73.95841,Private room,2,2,0.14,1
Manhattan,Midtown,40.7597,-73.97916,Private room,2,0,0.0,2
Brooklyn,Bedford-Stuyvesant,40.6875,-73.9588,Private room,1,36,3.23,1
Manhattan,Roosevelt Island,40.76358,-73.94761,Private room,2,14,2.25,1
Brooklyn,Crown Heights,40.67299,-73.95521,Private room,7,6,0.41,2
Manhattan,Financial District,40.70586,-74.00904,Entire home/apt,30,0,0.0,232
Brooklyn,Crown Heights,40.67398,-73.94669,Entire home/apt,1,0,0.0,2
Brooklyn,Sheepshead Bay,40.58363,-73.93553,Entire home/apt,7,3,0.05,2
Brooklyn,Bedford-Stuyvesant,40.69172,-73.94446,Private room,1,181,5.47,4
Manhattan,Midtown,40.75174,-73.9706,Entire home/apt,1,1,1.0,1
Brooklyn,Williamsburg,40.71179,-73.93872,Entire home/apt,2,2,0.15,1
Brooklyn,Flatbush,40.63376,-73.95148,Private room,3,0,0.0,1
Queens,East Elmhurst,40.75943,-73.89553,Private room,3,46,0.83,1
Brooklyn,Williamsburg,40.70931,-73.94253,Private room,1,71,5.52,2
Brooklyn,Prospect-Lefferts Gardens,40.65868,-73.94992,Entire home/apt,2,46,1.5,1
Brooklyn,Downtown Brooklyn,40.69594,-73.98375,Entire home/apt,13,64,0.8,1
Manhattan,East Harlem,40.79963,-73.94628,Entire home/apt,2,98,1.94,1
Brooklyn,Greenpoint,40.73002,-73.95636,Private room,1,5,3.06,2
Queens,Sunnyside,40.7379,-73.92911,Private room,1,21,4.92,1
Brooklyn,East New York,40.66788,-73.87339,Entire home/apt,2,6,0.69,2
Brooklyn,Midwood,40.61204,-73.95501,Private room,2,31,1.9,2
Manhattan,Upper West Side,40.78544,-73.97062,Entire home/apt,4,0,0.0,1
Manhattan,West Village,40.73221,-74.00928,Entire home/apt,3,19,0.46,2
Manhattan,Harlem,40.81451,-73.94478,Private room,2,59,2.38,1
Manhattan,Harlem,40.80285,-73.95166,Private room,2,54,0.88,1
Brooklyn,Crown Heights,40.66935,-73.94708,Private room,3,0,0.0,1
Brooklyn,Bedford-Stuyvesant,40.69256,-73.96058,Private room,1,5,0.22,1
Brooklyn,Fort Greene,40.68841,-73.97283,Entire home/apt,2,5,0.22,1
Brooklyn,Bushwick,40.70627,-73.92223,Entire home/apt,2,20,0.26,1
